"ID","fk","DESCORGAO","IDORGAO","IDSUBORDINADOR","NIVEL","Subordinada","Unidade","Título","DESCORGAO_SUBORDINADOR"
"123473","280.454","Secretaria de Tecnologia da Informação","454","280","2","STI","TCDF","280.454","Tribunal de Contas do Distrito Federal"
"123474","996.996","Portaria SEDE","996","996","4","Portaria SEDE","Portaria SEDE","996.996","Portaria SEDE"
"123475","978.978","Terceira Divisão de Acompanhamento","978","978","4","DIACOMP3","DIACOMP3","978.978","Terceira Divisão de Acompanhamento"
"123476","682.554","Serviço de Obras e Projetos","554","682","2","SEPROJ","SGA","682.554","Supervisão de Sistemas de Informação, Legislação e Jurisprudência"
"123477","228.228","Serviço de Contabilidade","228","228","4","SECON","SECON","228.228","Serviço de Contabilidade"
"123478","682.964","Copa 8º Andar","964","682","3","Copa 8º Andar","SGA","682.964","Supervisão de Sistemas de Informação, Legislação e Jurisprudência"
"123479","1009.1009","Recepção ESCON","1.009","1.009","4","Recepção ESCON","Recepção ESCON","1009.1009","Recepção ESCON"
"123480","548.548","Secretaria de Gestão de Pessoas","548","548","4","SEGEP","SEGEP","548.548","Secretaria de Gestão de Pessoas"
"123481","503.978","Terceira Divisão de Acompanhamento","978","503","2","DIACOMP3","SEGECEX","503.978","Secretaria-Geral de Controle Externo"
"123482","682.1006","Assessoria","1.006","682","3","Assessoria","SGA","682.1006","Supervisão de Sistemas de Informação, Legislação e Jurisprudência"
"123483","555.998","Lanchonete","998","555","1","Lanchonete","SESOP","555.998","Serviço de Segurança e Suporte Operacional"
"123484","995.995","Portaria Visitantes Anexo","995","995","4","Portaria Visita","Portaria Visita","995.995","Portaria Visitantes Anexo"
"123485","915.915","Ministério das Cidades","915","915","4","MCID","MCID","915.915","Ministério das Cidades"
"123486","926.552","Secretaria de Engenharia e Serviços de Apoio","552","926","2","SESAP","CGCI","926.552","Coordenadoria de Gestão do Conhecimento Institucional"
"123487","682.981","Recepção Hall Norte 7° Andar","981","682","3","Recepção Hall N","SGA","682.981","Supervisão de Sistemas de Informação, Legislação e Jurisprudência"
"123488","1047.967","Divisão de Fiscalização de Projetos de Desestatização","967","1.047","1","DIFID","SEINFRA","1047.967","Secretaria de Fiscalização de Infraestrutura"
"123489","280.791","Coordenadoria de Governança e Infraestrutura de TI","791","280","3","COGINF","TCDF","280.791","Tribunal de Contas do Distrito Federal"
"123490","678.851","Assessoria Especial em Assuntos Tecnológicos","851","678","2","AEATEC","PRESIDÊNCIA","678.851","Presidência"
"123491","678.789","Gerência de Sistemas Corporativos","789","678","3","GESICO","PRESIDÊNCIA","678.789","Presidência"
